HDR,ROLLING SYSTEM DEMAND
VD,20220221000000,24968
VD,20220221000500,24967
VD,20220221001000,24767
VD,20220221001500,24936
VD,20220221002000,24922
VD,20220221002500,25006
VD,20220221003000,25086
VD,20220221003500,25327
VD,20220221004000,25481
VD,20220221004500,25585
VD,20220221005000,25647
VD,20220221005500,25547
VD,20220221010000,25623
VD,20220221010500,25830
VD,20220221011000,25648
VD,20220221011500,25426
VD,20220221012000,25280
VD,20220221012500,25285
VD,20220221013000,25300
VD,20220221013500,25381
VD,20220221014000,25435
VD,20220221014500,25304
VD,20220221015000,25219
VD,20220221015500,25107
VD,20220221020000,25023
VD,20220221020500,24980
VD,20220221021000,24901
VD,20220221021500,24816
VD,20220221022000,24679
VD,20220221022500,24570
VD,20220221023000,24489
VD,20220221023500,24364
VD,20220221024000,24297
VD,20220221024500,24216
VD,20220221025000,24123
VD,20220221025500,24130
VD,20220221030000,24121
VD,20220221030500,23872
VD,20220221031000,23821
VD,20220221031500,23770
VD,20220221032000,23968
VD,20220221032500,23972
VD,20220221033000,23780
VD,20220221033500,23720
VD,20220221034000,23558
VD,20220221034500,23528
VD,20220221035000,23460
VD,20220221035500,23417
VD,20220221040000,23555
VD,20220221040500,23477
VD,20220221041000,23533
VD,20220221041500,23658
VD,20220221042000,23994
VD,20220221042500,24167
VD,20220221043000,24150
VD,20220221043500,24045
VD,20220221044000,24000
VD,20220221044500,24015
VD,20220221045000,24085
VD,20220221045500,24178
VD,20220221050000,24276
VD,20220221050500,24412
VD,20220221051000,24401
VD,20220221051500,24469
VD,20220221052000,24604
VD,20220221052500,24815
VD,20220221053000,24901
VD,20220221053500,25055
VD,20220221054000,25236
VD,20220221054500,25295
VD,20220221055000,25419
VD,20220221055500,25549
VD,20220221060000,25756
VD,20220221060500,26380
VD,20220221061000,26842
VD,20220221061500,27056
VD,20220221062000,27528
VD,20220221062500,27782
VD,20220221063000,28035
VD,20220221063500,28438
VD,20220221064000,28939
VD,20220221064500,29367
VD,20220221065000,29815
VD,20220221065500,30126
VD,20220221070000,30397
VD,20220221070500,30871
VD,20220221071000,31305
VD,20220221071500,31546
VD,20220221072000,31962
VD,20220221072500,32249
VD,20220221073000,32585
VD,20220221073500,32794
VD,20220221074000,32874
VD,20220221074500,33030
VD,20220221075000,33231
VD,20220221075500,33499
VD,20220221080000,33781
VD,20220221080500,33992
VD,20220221081000,34129
VD,20220221081500,34460
VD,20220221082000,34775
VD,20220221082500,35010
VD,20220221083000,35101
VD,20220221083500,35184
VD,20220221084000,35149
VD,20220221084500,35347
VD,20220221085000,35694
VD,20220221085500,35810
VD,20220221090000,35798
VD,20220221090500,35840
VD,20220221091000,36074
VD,20220221091500,36126
VD,20220221092000,36099
VD,20220221092500,36124
VD,20220221093000,36238
VD,20220221093500,36182
VD,20220221094000,36037
VD,20220221094500,35889
VD,20220221095000,35760
VD,20220221095500,35821
